title,year,duration,genres,rating,directors,cast
tt15398776,2023,180,"Biography, Drama, History",8.7,nm0634240,"nm0614165, nm1289434, nm0000354, nm0000375"
tt1517268,2023,114,"Adventure, Comedy, Fantasy",7.5,nm1950086,"nm3053338, nm0331516, nm4793987, nm0571952"
